P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY02,AX001,BY02_AX_1,0,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX002,BY02_AX_1,2,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX003,BY02_AX_1,4,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX004,BY02_AX_1,6,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX005,BY02_AX_1,8,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX006,BY02_AX_1,10,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX007,BY02_AX_1,12,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX008,BY02_AX_1,14,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX009,BY02_AX_1,16,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX010,BY02_AX_1,18,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX011,BY02_AX_1,20,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX012,BY02_AX_1,22,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX013,BY02_AX_1,24,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX014,BY02_AX_1,26,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX015,BY02_AX_1,28,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX016,BY02_AX_1,30,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX017,BY02_AX_1,32,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX018,BY02_AX_1,34,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX019,BY02_AX_1,36,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX020,BY02_AX_1,38,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX021,BY02_AX_1,40,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX022,BY02_AX_1,42,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX023,BY02_AX_1,44,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX024,BY02_AX_1,46,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX025,BY02_AX_1,48,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX026,BY02_AX_1,50,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX027,BY02_AX_1,52,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX028,BY02_AX_1,54,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX029,BY02_AX_1,56,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX030,BY02_AX_1,58,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX031,BY02_AX_1,60,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX032,BY02_AX_1,62,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX033,BY02_AX_1,64,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX034,BY02_AX_1,66,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX035,BY02_AX_1,68,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX036,BY02_AX_1,70,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX037,BY02_AX_1,72,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX038,BY02_AX_1,74,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX039,BY02_AX_1,76,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX040,BY02_AX_1,78,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX041,BY02_AX_1,80,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX042,BY02_AX_1,82,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX043,BY02_AX_1,84,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX044,BY02_AX_1,86,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX045,BY02_AX_1,88,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX046,BY02_AX_1,90,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX047,BY02_AX_1,92,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX048,BY02_AX_1,94,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX049,BY02_AX_1,96,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY02,AX050,BY02_AX_1,98,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
