P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY02,DX101,BY02_DX_3,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX102,BY02_DX_3,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX103,BY02_DX_3,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX104,BY02_DX_3,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX105,BY02_DX_3,4,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX106,BY02_DX_3,5,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX107,BY02_DX_3,6,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX108,BY02_DX_3,7,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX109,BY02_DX_3,8,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX110,BY02_DX_3,9,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX111,BY02_DX_3,10,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX112,BY02_DX_3,11,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX113,BY02_DX_3,12,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX114,BY02_DX_3,13,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX115,BY02_DX_3,14,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX116,BY02_DX_3,15,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX117,BY02_DX_3,16,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX118,BY02_DX_3,17,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX119,BY02_DX_3,18,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX120,BY02_DX_3,19,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX121,BY02_DX_3,20,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX122,BY02_DX_3,21,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX123,BY02_DX_3,22,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY02,DX124,BY02_DX_3,23,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
