P,R,PORT,OFFSET,ZNAM,ONAM
BY02,DY001,BY02_DY_1,49,Low,High
BY02,DY002,BY02_DY_1,0,Low,High
BY02,DY003,BY02_DY_1,1,Low,High
BY02,DY004,BY02_DY_1,2,Low,High
BY02,DY005,BY02_DY_1,3,Low,High
BY02,DY006,BY02_DY_1,4,Low,High
BY02,DY007,BY02_DY_1,5,Low,High
BY02,DY008,BY02_DY_1,6,Low,High
BY02,DY009,BY02_DY_1,7,Low,High
BY02,DY010,BY02_DY_1,8,Low,High
BY02,DY011,BY02_DY_1,9,Low,High
BY02,DY012,BY02_DY_1,10,Low,High
BY02,DY013,BY02_DY_1,11,Low,High
BY02,DY014,BY02_DY_1,12,Low,High
BY02,DY015,BY02_DY_1,13,Low,High
BY02,DY016,BY02_DY_1,14,Low,High
BY02,DY017,BY02_DY_1,15,Low,High
BY02,DY018,BY02_DY_1,16,Low,High
BY02,DY019,BY02_DY_1,17,Low,High
BY02,DY020,BY02_DY_1,18,Low,High
BY02,DY021,BY02_DY_1,19,Low,High
BY02,DY022,BY02_DY_1,20,Low,High
BY02,DY023,BY02_DY_1,21,Low,High
BY02,DY024,BY02_DY_1,22,Low,High
BY02,DY025,BY02_DY_1,23,Low,High
BY02,DY026,BY02_DY_1,24,Low,High
BY02,DY027,BY02_DY_1,25,Low,High
BY02,DY028,BY02_DY_1,26,Low,High
BY02,DY029,BY02_DY_1,27,Low,High
BY02,DY030,BY02_DY_1,28,Low,High
BY02,DY031,BY02_DY_1,29,Low,High
BY02,DY032,BY02_DY_1,30,Low,High
BY02,DY033,BY02_DY_1,31,Low,High
BY02,DY034,BY02_DY_1,32,Low,High
BY02,DY035,BY02_DY_1,33,Low,High
BY02,DY036,BY02_DY_1,34,Low,High
BY02,DY037,BY02_DY_1,35,Low,High
BY02,DY038,BY02_DY_1,36,Low,High
BY02,DY039,BY02_DY_1,37,Low,High
BY02,DY040,BY02_DY_1,38,Low,High
BY02,DY041,BY02_DY_1,39,Low,High
BY02,DY042,BY02_DY_1,40,Low,High
BY02,DY043,BY02_DY_1,41,Low,High
BY02,DY044,BY02_DY_1,42,Low,High
BY02,DY045,BY02_DY_1,43,Low,High
BY02,DY046,BY02_DY_1,44,Low,High
BY02,DY047,BY02_DY_1,45,Low,High
BY02,DY048,BY02_DY_1,46,Low,High
