P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC
BY02,AY101,BY02_AY_3,0,FLOAT32_BE,-1e6,1e6,3
BY02,AY102,BY02_AY_3,2,FLOAT32_BE,-1e6,1e6,3
BY02,AY103,BY02_AY_3,4,FLOAT32_BE,-1e6,1e6,3
BY02,AY104,BY02_AY_3,6,FLOAT32_BE,-1e6,1e6,3
BY02,AY105,BY02_AY_3,8,FLOAT32_BE,-1e6,1e6,3
BY02,AY106,BY02_AY_3,10,FLOAT32_BE,-1e6,1e6,3
BY02,AY107,BY02_AY_3,12,FLOAT32_BE,-1e6,1e6,3
BY02,AY108,BY02_AY_3,14,FLOAT32_BE,-1e6,1e6,3
BY02,AY109,BY02_AY_3,16,FLOAT32_BE,-1e6,1e6,3
BY02,AY110,BY02_AY_3,18,FLOAT32_BE,-1e6,1e6,3
BY02,AY111,BY02_AY_3,20,FLOAT32_BE,-1e6,1e6,3
BY02,AY112,BY02_AY_3,22,FLOAT32_BE,-1e6,1e6,3
BY02,AY113,BY02_AY_3,24,FLOAT32_BE,-1e6,1e6,3
BY02,AY114,BY02_AY_3,26,FLOAT32_BE,-1e6,1e6,3
BY02,AY115,BY02_AY_3,28,FLOAT32_BE,-1e6,1e6,3
BY02,AY116,BY02_AY_3,30,FLOAT32_BE,-1e6,1e6,3
BY02,AY117,BY02_AY_3,32,FLOAT32_BE,-1e6,1e6,3
BY02,AY118,BY02_AY_3,34,FLOAT32_BE,-1e6,1e6,3
BY02,AY119,BY02_AY_3,36,FLOAT32_BE,-1e6,1e6,3
BY02,AY120,BY02_AY_3,38,FLOAT32_BE,-1e6,1e6,3
BY02,AY121,BY02_AY_3,40,FLOAT32_BE,-1e6,1e6,3
BY02,AY122,BY02_AY_3,42,FLOAT32_BE,-1e6,1e6,3
BY02,AY123,BY02_AY_3,44,FLOAT32_BE,-1e6,1e6,3
BY02,AY124,BY02_AY_3,46,FLOAT32_BE,-1e6,1e6,3
BY02,AY125,BY02_AY_3,48,FLOAT32_BE,-1e6,1e6,3
BY02,AY126,BY02_AY_3,50,FLOAT32_BE,-1e6,1e6,3
BY02,AY127,BY02_AY_3,52,FLOAT32_BE,-1e6,1e6,3
BY02,AY128,BY02_AY_3,54,FLOAT32_BE,-1e6,1e6,3
BY02,AY129,BY02_AY_3,56,FLOAT32_BE,-1e6,1e6,3
BY02,AY130,BY02_AY_3,58,FLOAT32_BE,-1e6,1e6,3
BY02,AY131,BY02_AY_3,60,FLOAT32_BE,-1e6,1e6,3
BY02,AY132,BY02_AY_3,62,FLOAT32_BE,-1e6,1e6,3
BY02,AY133,BY02_AY_3,64,FLOAT32_BE,-1e6,1e6,3
BY02,AY134,BY02_AY_3,66,FLOAT32_BE,-1e6,1e6,3
BY02,AY135,BY02_AY_3,68,FLOAT32_BE,-1e6,1e6,3
BY02,AY136,BY02_AY_3,70,FLOAT32_BE,-1e6,1e6,3
BY02,AY137,BY02_AY_3,72,FLOAT32_BE,-1e6,1e6,3
BY02,AY138,BY02_AY_3,74,FLOAT32_BE,-1e6,1e6,3
BY02,AY139,BY02_AY_3,76,FLOAT32_BE,-1e6,1e6,3
BY02,AY140,BY02_AY_3,78,FLOAT32_BE,-1e6,1e6,3
BY02,AY141,BY02_AY_3,80,FLOAT32_BE,-1e6,1e6,3
BY02,AY142,BY02_AY_3,82,FLOAT32_BE,-1e6,1e6,3
BY02,AY143,BY02_AY_3,84,FLOAT32_BE,-1e6,1e6,3
BY02,AY144,BY02_AY_3,86,FLOAT32_BE,-1e6,1e6,3
BY02,AY145,BY02_AY_3,88,FLOAT32_BE,-1e6,1e6,3
BY02,AY146,BY02_AY_3,90,FLOAT32_BE,-1e6,1e6,3
BY02,AY147,BY02_AY_3,92,FLOAT32_BE,-1e6,1e6,3
BY02,AY148,BY02_AY_3,94,FLOAT32_BE,-1e6,1e6,3
