P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY04,AX051,BY04_AX_2,0,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX052,BY04_AX_2,2,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX053,BY04_AX_2,4,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX054,BY04_AX_2,6,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX055,BY04_AX_2,8,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX056,BY04_AX_2,10,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX057,BY04_AX_2,12,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX058,BY04_AX_2,14,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX059,BY04_AX_2,16,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX060,BY04_AX_2,18,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX061,BY04_AX_2,20,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX062,BY04_AX_2,22,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX063,BY04_AX_2,24,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX064,BY04_AX_2,26,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX065,BY04_AX_2,28,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX066,BY04_AX_2,30,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX067,BY04_AX_2,32,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX068,BY04_AX_2,34,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX069,BY04_AX_2,36,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX070,BY04_AX_2,38,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX071,BY04_AX_2,40,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX072,BY04_AX_2,42,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX073,BY04_AX_2,44,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX074,BY04_AX_2,46,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX075,BY04_AX_2,48,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX076,BY04_AX_2,50,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX077,BY04_AX_2,52,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX078,BY04_AX_2,54,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX079,BY04_AX_2,56,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX080,BY04_AX_2,58,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX081,BY04_AX_2,60,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX082,BY04_AX_2,62,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX083,BY04_AX_2,64,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX084,BY04_AX_2,66,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX085,BY04_AX_2,68,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX086,BY04_AX_2,70,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX087,BY04_AX_2,72,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX088,BY04_AX_2,74,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX089,BY04_AX_2,76,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX090,BY04_AX_2,78,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX091,BY04_AX_2,80,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX092,BY04_AX_2,82,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX093,BY04_AX_2,84,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX094,BY04_AX_2,86,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX095,BY04_AX_2,88,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX096,BY04_AX_2,90,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX097,BY04_AX_2,92,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX098,BY04_AX_2,94,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY04,AX099,BY04_AX_2,96,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
