P,R,PORT,OFFSET,ZNAM,ONAM
BY04,DY001,BY04_DY_1,49,Low,High
BY04,DY002,BY04_DY_1,0,Low,High
BY04,DY003,BY04_DY_1,1,Low,High
BY04,DY004,BY04_DY_1,2,Low,High
BY04,DY005,BY04_DY_1,3,Low,High
BY04,DY006,BY04_DY_1,4,Low,High
BY04,DY007,BY04_DY_1,5,Low,High
BY04,DY008,BY04_DY_1,6,Low,High
BY04,DY009,BY04_DY_1,7,Low,High
BY04,DY010,BY04_DY_1,8,Low,High
BY04,DY011,BY04_DY_1,9,Low,High
BY04,DY012,BY04_DY_1,10,Low,High
BY04,DY013,BY04_DY_1,11,Low,High
BY04,DY014,BY04_DY_1,12,Low,High
BY04,DY015,BY04_DY_1,13,Low,High
BY04,DY016,BY04_DY_1,14,Low,High
BY04,DY017,BY04_DY_1,15,Low,High
BY04,DY018,BY04_DY_1,16,Low,High
BY04,DY019,BY04_DY_1,17,Low,High
BY04,DY020,BY04_DY_1,18,Low,High
BY04,DY021,BY04_DY_1,19,Low,High
BY04,DY022,BY04_DY_1,20,Low,High
BY04,DY023,BY04_DY_1,21,Low,High
BY04,DY024,BY04_DY_1,22,Low,High
BY04,DY025,BY04_DY_1,23,Low,High
BY04,DY026,BY04_DY_1,24,Low,High
BY04,DY027,BY04_DY_1,25,Low,High
BY04,DY028,BY04_DY_1,26,Low,High
BY04,DY029,BY04_DY_1,27,Low,High
BY04,DY030,BY04_DY_1,28,Low,High
BY04,DY031,BY04_DY_1,29,Low,High
BY04,DY032,BY04_DY_1,30,Low,High
BY04,DY033,BY04_DY_1,31,Low,High
BY04,DY034,BY04_DY_1,32,Low,High
BY04,DY035,BY04_DY_1,33,Low,High
BY04,DY036,BY04_DY_1,34,Low,High
BY04,DY037,BY04_DY_1,35,Low,High
BY04,DY038,BY04_DY_1,36,Low,High
BY04,DY039,BY04_DY_1,37,Low,High
BY04,DY040,BY04_DY_1,38,Low,High
