P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY10,AX001,BY10_AX_1,0,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX002,BY10_AX_1,2,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX003,BY10_AX_1,4,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX004,BY10_AX_1,6,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX005,BY10_AX_1,8,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX006,BY10_AX_1,10,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX007,BY10_AX_1,12,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX008,BY10_AX_1,14,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX009,BY10_AX_1,16,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX010,BY10_AX_1,18,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX011,BY10_AX_1,20,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX012,BY10_AX_1,22,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX013,BY10_AX_1,24,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX014,BY10_AX_1,26,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX015,BY10_AX_1,28,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX016,BY10_AX_1,30,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX017,BY10_AX_1,32,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX018,BY10_AX_1,34,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX019,BY10_AX_1,36,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX020,BY10_AX_1,38,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX021,BY10_AX_1,40,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX022,BY10_AX_1,42,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX023,BY10_AX_1,44,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX024,BY10_AX_1,46,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX025,BY10_AX_1,48,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX026,BY10_AX_1,50,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX027,BY10_AX_1,52,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX028,BY10_AX_1,54,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX029,BY10_AX_1,56,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX030,BY10_AX_1,58,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX031,BY10_AX_1,60,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX032,BY10_AX_1,62,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX033,BY10_AX_1,64,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX034,BY10_AX_1,66,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX035,BY10_AX_1,68,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX036,BY10_AX_1,70,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX037,BY10_AX_1,72,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX038,BY10_AX_1,74,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX039,BY10_AX_1,76,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX040,BY10_AX_1,78,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX041,BY10_AX_1,80,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX042,BY10_AX_1,82,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX043,BY10_AX_1,84,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX044,BY10_AX_1,86,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX045,BY10_AX_1,88,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX046,BY10_AX_1,90,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX047,BY10_AX_1,92,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX048,BY10_AX_1,94,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX049,BY10_AX_1,96,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY10,AX050,BY10_AX_1,98,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
