P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC
BY10,AY001,BY10_AY_1,0,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY002,BY10_AY_1,2,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY003,BY10_AY_1,4,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY004,BY10_AY_1,6,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY005,BY10_AY_1,8,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY006,BY10_AY_1,10,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY007,BY10_AY_1,12,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY008,BY10_AY_1,14,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY009,BY10_AY_1,16,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY010,BY10_AY_1,18,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY011,BY10_AY_1,20,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY012,BY10_AY_1,22,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY013,BY10_AY_1,24,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY014,BY10_AY_1,26,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY015,BY10_AY_1,28,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY016,BY10_AY_1,30,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY017,BY10_AY_1,32,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY018,BY10_AY_1,34,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY10,AY019,BY10_AY_1,36,FLOAT32_BE,-1.00E+06,1.00E+06,3
