P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC
BY05,AY001,BY05_AY_1,0,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY002,BY05_AY_1,2,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY003,BY05_AY_1,4,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY004,BY05_AY_1,6,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY005,BY05_AY_1,8,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY006,BY05_AY_1,10,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY007,BY05_AY_1,12,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY008,BY05_AY_1,14,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY009,BY05_AY_1,16,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY010,BY05_AY_1,18,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY011,BY05_AY_1,20,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY012,BY05_AY_1,22,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY013,BY05_AY_1,24,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY014,BY05_AY_1,26,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY015,BY05_AY_1,28,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY016,BY05_AY_1,30,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY017,BY05_AY_1,32,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY05,AY018,BY05_AY_1,34,FLOAT32_BE,-1.00E+06,1.00E+06,3
