P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY07,AX001,BY07_AX_1,0,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX002,BY07_AX_1,2,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX003,BY07_AX_1,4,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX004,BY07_AX_1,6,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX005,BY07_AX_1,8,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX006,BY07_AX_1,10,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX007,BY07_AX_1,12,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX008,BY07_AX_1,14,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX009,BY07_AX_1,16,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX010,BY07_AX_1,18,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX011,BY07_AX_1,20,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX012,BY07_AX_1,22,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX013,BY07_AX_1,24,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX014,BY07_AX_1,26,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX015,BY07_AX_1,28,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX016,BY07_AX_1,30,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX017,BY07_AX_1,32,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX018,BY07_AX_1,34,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX019,BY07_AX_1,36,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX020,BY07_AX_1,38,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX021,BY07_AX_1,40,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX022,BY07_AX_1,42,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX023,BY07_AX_1,44,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX024,BY07_AX_1,46,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
