P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY07,AX025,BY07_AX_1,48,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX026,BY07_AX_1,50,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX027,BY07_AX_1,52,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX028,BY07_AX_1,54,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX029,BY07_AX_1,56,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX030,BY07_AX_1,58,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX031,BY07_AX_1,60,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX032,BY07_AX_1,62,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX033,BY07_AX_1,64,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX034,BY07_AX_1,66,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX035,BY07_AX_1,68,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX036,BY07_AX_1,70,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX037,BY07_AX_1,72,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX038,BY07_AX_1,74,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX039,BY07_AX_1,76,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX040,BY07_AX_1,78,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX041,BY07_AX_1,80,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX042,BY07_AX_1,82,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX043,BY07_AX_1,84,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX044,BY07_AX_1,86,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX045,BY07_AX_1,88,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX046,BY07_AX_1,90,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX047,BY07_AX_1,92,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX048,BY07_AX_1,94,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX049,BY07_AX_1,96,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
BY07,AX050,BY07_AX_1,98,FLOAT32_LE,-1.00E+06,1.00E+06,2,"""I/O Intr"""
