P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY07,DX001,BY07_DX_1,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY07,DX002,BY07_DX_1,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY07,DX003,BY07_DX_1,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY07,DX004,BY07_DX_1,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
