P,R,PORT,OFFSET,ZNAM,ONAM
BY01,DY001,BY01_DY_1,49,Low,High
BY01,DY002,BY01_DY_1,0,Low,High
BY01,DY003,BY01_DY_1,1,Low,High
BY01,DY004,BY01_DY_1,2,Low,High
BY01,DY005,BY01_DY_1,3,Low,High
BY01,DY006,BY01_DY_1,4,Low,High
BY01,DY007,BY01_DY_1,5,Low,High
BY01,DY008,BY01_DY_1,6,Low,High
BY01,DY009,BY01_DY_1,7,Low,High
BY01,DY010,BY01_DY_1,8,Low,High
BY01,DY011,BY01_DY_1,9,Low,High
BY01,DY012,BY01_DY_1,10,Low,High
BY01,DY013,BY01_DY_1,11,Low,High
BY01,DY014,BY01_DY_1,12,Low,High
BY01,DY015,BY01_DY_1,13,Low,High
BY01,DY016,BY01_DY_1,14,Low,High
BY01,DY017,BY01_DY_1,15,Low,High
BY01,DY018,BY01_DY_1,16,Low,High
BY01,DY019,BY01_DY_1,17,Low,High
BY01,DY020,BY01_DY_1,18,Low,High
BY01,DY021,BY01_DY_1,19,Low,High
BY01,DY022,BY01_DY_1,20,Low,High
BY01,DY023,BY01_DY_1,21,Low,High
BY01,DY024,BY01_DY_1,22,Low,High
BY01,DY025,BY01_DY_1,23,Low,High
BY01,DY026,BY01_DY_1,24,Low,High
BY01,DY027,BY01_DY_1,25,Low,High
BY01,DY028,BY01_DY_1,26,Low,High
BY01,DY029,BY01_DY_1,27,Low,High
BY01,DY030,BY01_DY_1,28,Low,High
BY01,DY031,BY01_DY_1,29,Low,High
BY01,DY032,BY01_DY_1,30,Low,High
BY01,DY033,BY01_DY_1,31,Low,High
BY01,DY034,BY01_DY_1,32,Low,High
BY01,DY035,BY01_DY_1,33,Low,High
BY01,DY036,BY01_DY_1,34,Low,High
BY01,DY037,BY01_DY_1,35,Low,High
BY01,DY038,BY01_DY_1,36,Low,High
BY01,DY039,BY01_DY_1,37,Low,High
BY01,DY040,BY01_DY_1,38,Low,High
BY01,DY041,BY01_DY_1,39,Low,High
BY01,DY042,BY01_DY_1,40,Low,High
