P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY01,DX101,BY01_DX_3,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX102,BY01_DX_3,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX103,BY01_DX_3,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX104,BY01_DX_3,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX105,BY01_DX_3,4,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX106,BY01_DX_3,5,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX107,BY01_DX_3,6,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX108,BY01_DX_3,7,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX109,BY01_DX_3,8,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX110,BY01_DX_3,9,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX111,BY01_DX_3,10,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX112,BY01_DX_3,11,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX113,BY01_DX_3,12,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX114,BY01_DX_3,13,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX115,BY01_DX_3,14,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX116,BY01_DX_3,15,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY01,DX117,BY01_DX_3,16,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
