P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY06,DX001,BY06_DX_1,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX002,BY06_DX_1,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX003,BY06_DX_1,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX004,BY06_DX_1,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX005,BY06_DX_1,4,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX006,BY06_DX_1,5,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX007,BY06_DX_1,6,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX008,BY06_DX_1,7,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX009,BY06_DX_1,8,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX010,BY06_DX_1,9,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX011,BY06_DX_1,10,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX012,BY06_DX_1,11,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX013,BY06_DX_1,12,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX014,BY06_DX_1,13,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX015,BY06_DX_1,14,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX016,BY06_DX_1,15,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX017,BY06_DX_1,16,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX018,BY06_DX_1,17,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX019,BY06_DX_1,18,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX020,BY06_DX_1,19,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX021,BY06_DX_1,20,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX022,BY06_DX_1,21,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX023,BY06_DX_1,22,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX024,BY06_DX_1,23,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX025,BY06_DX_1,24,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX026,BY06_DX_1,25,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX027,BY06_DX_1,26,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX028,BY06_DX_1,27,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX029,BY06_DX_1,28,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX030,BY06_DX_1,29,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX031,BY06_DX_1,30,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX032,BY06_DX_1,31,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX033,BY06_DX_1,32,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX034,BY06_DX_1,33,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX035,BY06_DX_1,34,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX036,BY06_DX_1,35,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX037,BY06_DX_1,36,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX038,BY06_DX_1,37,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX039,BY06_DX_1,38,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX040,BY06_DX_1,39,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX041,BY06_DX_1,40,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX042,BY06_DX_1,41,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX043,BY06_DX_1,42,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX044,BY06_DX_1,43,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX045,BY06_DX_1,44,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX046,BY06_DX_1,45,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX047,BY06_DX_1,46,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX048,BY06_DX_1,47,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX049,BY06_DX_1,48,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX050,BY06_DX_1,49,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
