P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY06,DX101,BY06_DX_3,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX102,BY06_DX_3,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX103,BY06_DX_3,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX104,BY06_DX_3,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX105,BY06_DX_3,4,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX106,BY06_DX_3,5,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX107,BY06_DX_3,6,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX108,BY06_DX_3,7,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX109,BY06_DX_3,8,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX110,BY06_DX_3,9,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX111,BY06_DX_3,10,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX112,BY06_DX_3,11,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX113,BY06_DX_3,12,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX114,BY06_DX_3,13,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX115,BY06_DX_3,14,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX116,BY06_DX_3,15,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX117,BY06_DX_3,16,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX118,BY06_DX_3,17,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX119,BY06_DX_3,18,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX120,BY06_DX_3,19,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX121,BY06_DX_3,20,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX122,BY06_DX_3,21,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX123,BY06_DX_3,22,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX124,BY06_DX_3,23,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX125,BY06_DX_3,24,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX126,BY06_DX_3,25,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX127,BY06_DX_3,26,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX128,BY06_DX_3,27,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX129,BY06_DX_3,28,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX130,BY06_DX_3,29,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX131,BY06_DX_3,30,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX132,BY06_DX_3,31,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX133,BY06_DX_3,32,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX134,BY06_DX_3,33,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX135,BY06_DX_3,34,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX136,BY06_DX_3,35,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX137,BY06_DX_3,36,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX138,BY06_DX_3,37,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX139,BY06_DX_3,38,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX140,BY06_DX_3,39,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX141,BY06_DX_3,40,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX142,BY06_DX_3,41,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX143,BY06_DX_3,42,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX144,BY06_DX_3,43,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX145,BY06_DX_3,44,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX146,BY06_DX_3,45,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX147,BY06_DX_3,46,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX148,BY06_DX_3,47,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
