P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC
BY06,AY001,BY06_AY_1,0,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY002,BY06_AY_1,2,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY003,BY06_AY_1,4,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY004,BY06_AY_1,6,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY005,BY06_AY_1,8,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY006,BY06_AY_1,10,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY007,BY06_AY_1,12,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY008,BY06_AY_1,14,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY009,BY06_AY_1,16,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY010,BY06_AY_1,18,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY011,BY06_AY_1,20,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY012,BY06_AY_1,22,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY013,BY06_AY_1,24,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY014,BY06_AY_1,26,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY015,BY06_AY_1,28,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY016,BY06_AY_1,30,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY017,BY06_AY_1,32,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY018,BY06_AY_1,34,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY019,BY06_AY_1,36,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY020,BY06_AY_1,38,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY021,BY06_AY_1,40,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY022,BY06_AY_1,42,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY023,BY06_AY_1,44,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY024,BY06_AY_1,46,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY025,BY06_AY_1,48,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY026,BY06_AY_1,50,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY027,BY06_AY_1,52,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY028,BY06_AY_1,54,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY029,BY06_AY_1,56,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY030,BY06_AY_1,58,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY031,BY06_AY_1,60,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY032,BY06_AY_1,62,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY033,BY06_AY_1,64,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY034,BY06_AY_1,66,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY035,BY06_AY_1,68,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY036,BY06_AY_1,70,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY037,BY06_AY_1,72,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY038,BY06_AY_1,74,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY039,BY06_AY_1,76,FLOAT32_BE,-1.00E+06,1.00E+06,3
BY06,AY040,BY06_AY_1,78,FLOAT32_BE,-1.00E+06,1.00E+06,3
