P,R,PORT,OFFSET,ZNAM,ONAM,ZSV,OSV,SCAN
BY06,DX051,BY06_DX_2,0,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX052,BY06_DX_2,1,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX053,BY06_DX_2,2,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX054,BY06_DX_2,3,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX055,BY06_DX_2,4,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX056,BY06_DX_2,5,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX057,BY06_DX_2,6,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX058,BY06_DX_2,7,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX059,BY06_DX_2,8,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX060,BY06_DX_2,9,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX061,BY06_DX_2,10,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX062,BY06_DX_2,11,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX063,BY06_DX_2,12,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX064,BY06_DX_2,13,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX065,BY06_DX_2,14,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX066,BY06_DX_2,15,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX067,BY06_DX_2,16,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX068,BY06_DX_2,17,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX069,BY06_DX_2,18,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX070,BY06_DX_2,19,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX071,BY06_DX_2,20,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX072,BY06_DX_2,21,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX073,BY06_DX_2,22,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX074,BY06_DX_2,23,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX075,BY06_DX_2,24,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX076,BY06_DX_2,25,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX077,BY06_DX_2,26,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX078,BY06_DX_2,27,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX079,BY06_DX_2,28,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX080,BY06_DX_2,29,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX081,BY06_DX_2,30,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX082,BY06_DX_2,31,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX083,BY06_DX_2,32,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX084,BY06_DX_2,33,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX085,BY06_DX_2,34,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX086,BY06_DX_2,35,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX087,BY06_DX_2,36,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX088,BY06_DX_2,37,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX089,BY06_DX_2,38,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX090,BY06_DX_2,39,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX091,BY06_DX_2,40,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX092,BY06_DX_2,41,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX093,BY06_DX_2,42,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX094,BY06_DX_2,43,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX095,BY06_DX_2,44,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX096,BY06_DX_2,45,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX097,BY06_DX_2,46,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX098,BY06_DX_2,47,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX099,BY06_DX_2,48,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
BY06,DX100,BY06_DX_2,49,Low,High,NO_ALARM,MAJOR,"""I/O Intr"""
