P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC,SCAN
BY03,AX051,BY03_AX_2,0,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX052,BY03_AX_2,2,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX053,BY03_AX_2,4,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX054,BY03_AX_2,6,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX055,BY03_AX_2,8,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX056,BY03_AX_2,10,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX057,BY03_AX_2,12,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX058,BY03_AX_2,14,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX059,BY03_AX_2,16,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX060,BY03_AX_2,18,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX061,BY03_AX_2,20,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX062,BY03_AX_2,22,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX063,BY03_AX_2,24,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX064,BY03_AX_2,26,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX065,BY03_AX_2,28,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX066,BY03_AX_2,30,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX067,BY03_AX_2,32,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX068,BY03_AX_2,34,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX069,BY03_AX_2,36,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX070,BY03_AX_2,38,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX071,BY03_AX_2,40,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX072,BY03_AX_2,42,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX073,BY03_AX_2,44,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX074,BY03_AX_2,46,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX075,BY03_AX_2,48,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX076,BY03_AX_2,50,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX077,BY03_AX_2,52,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX078,BY03_AX_2,54,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX079,BY03_AX_2,56,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX080,BY03_AX_2,58,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX081,BY03_AX_2,60,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX082,BY03_AX_2,62,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX083,BY03_AX_2,64,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX084,BY03_AX_2,66,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
BY03,AX085,BY03_AX_2,68,FLOAT32_LE,-1e6,1e6,2,"""I/O Intr"""
