P,R,PORT,OFFSET,DATA_TYPE,LOPR,HOPR,PREC
BY03,AY051,BY03_AY_2,0,FLOAT32_BE,-1e6,1e6,3
BY03,AY052,BY03_AY_2,2,FLOAT32_BE,-1e6,1e6,3
BY03,AY053,BY03_AY_2,4,FLOAT32_BE,-1e6,1e6,3
BY03,AY054,BY03_AY_2,6,FLOAT32_BE,-1e6,1e6,3
BY03,AY055,BY03_AY_2,8,FLOAT32_BE,-1e6,1e6,3
BY03,AY056,BY03_AY_2,10,FLOAT32_BE,-1e6,1e6,3
BY03,AY057,BY03_AY_2,12,FLOAT32_BE,-1e6,1e6,3
BY03,AY058,BY03_AY_2,14,FLOAT32_BE,-1e6,1e6,3
BY03,AY059,BY03_AY_2,16,FLOAT32_BE,-1e6,1e6,3
BY03,AY060,BY03_AY_2,18,FLOAT32_BE,-1e6,1e6,3
BY03,AY061,BY03_AY_2,20,FLOAT32_BE,-1e6,1e6,3
BY03,AY062,BY03_AY_2,22,FLOAT32_BE,-1e6,1e6,3
BY03,AY063,BY03_AY_2,24,FLOAT32_BE,-1e6,1e6,3
BY03,AY064,BY03_AY_2,26,FLOAT32_BE,-1e6,1e6,3
BY03,AY065,BY03_AY_2,28,FLOAT32_BE,-1e6,1e6,3
BY03,AY066,BY03_AY_2,30,FLOAT32_BE,-1e6,1e6,3
BY03,AY067,BY03_AY_2,32,FLOAT32_BE,-1e6,1e6,3
BY03,AY068,BY03_AY_2,34,FLOAT32_BE,-1e6,1e6,3
BY03,AY069,BY03_AY_2,36,FLOAT32_BE,-1e6,1e6,3
BY03,AY070,BY03_AY_2,38,FLOAT32_BE,-1e6,1e6,3
BY03,AY071,BY03_AY_2,40,FLOAT32_BE,-1e6,1e6,3
BY03,AY072,BY03_AY_2,42,FLOAT32_BE,-1e6,1e6,3
BY03,AY073,BY03_AY_2,44,FLOAT32_BE,-1e6,1e6,3
BY03,AY074,BY03_AY_2,46,FLOAT32_BE,-1e6,1e6,3
BY03,AY075,BY03_AY_2,48,FLOAT32_BE,-1e6,1e6,3
BY03,AY076,BY03_AY_2,50,FLOAT32_BE,-1e6,1e6,3
BY03,AY077,BY03_AY_2,52,FLOAT32_BE,-1e6,1e6,3
BY03,AY078,BY03_AY_2,54,FLOAT32_BE,-1e6,1e6,3
BY03,AY079,BY03_AY_2,56,FLOAT32_BE,-1e6,1e6,3
BY03,AY080,BY03_AY_2,58,FLOAT32_BE,-1e6,1e6,3
BY03,AY081,BY03_AY_2,60,FLOAT32_BE,-1e6,1e6,3
BY03,AY082,BY03_AY_2,62,FLOAT32_BE,-1e6,1e6,3
BY03,AY083,BY03_AY_2,64,FLOAT32_BE,-1e6,1e6,3
BY03,AY084,BY03_AY_2,66,FLOAT32_BE,-1e6,1e6,3
BY03,AY085,BY03_AY_2,68,FLOAT32_BE,-1e6,1e6,3
BY03,AY086,BY03_AY_2,70,FLOAT32_BE,-1e6,1e6,3
BY03,AY087,BY03_AY_2,72,FLOAT32_BE,-1e6,1e6,3
BY03,AY088,BY03_AY_2,74,FLOAT32_BE,-1e6,1e6,3
BY03,AY089,BY03_AY_2,76,FLOAT32_BE,-1e6,1e6,3
BY03,AY090,BY03_AY_2,78,FLOAT32_BE,-1e6,1e6,3
BY03,AY091,BY03_AY_2,80,FLOAT32_BE,-1e6,1e6,3
BY03,AY092,BY03_AY_2,82,FLOAT32_BE,-1e6,1e6,3
BY03,AY093,BY03_AY_2,84,FLOAT32_BE,-1e6,1e6,3
BY03,AY094,BY03_AY_2,86,FLOAT32_BE,-1e6,1e6,3
BY03,AY095,BY03_AY_2,88,FLOAT32_BE,-1e6,1e6,3
BY03,AY096,BY03_AY_2,90,FLOAT32_BE,-1e6,1e6,3
BY03,AY097,BY03_AY_2,92,FLOAT32_BE,-1e6,1e6,3
BY03,AY098,BY03_AY_2,94,FLOAT32_BE,-1e6,1e6,3
BY03,AY099,BY03_AY_2,96,FLOAT32_BE,-1e6,1e6,3
BY03,AY100,BY03_AY_2,98,FLOAT32_BE,-1e6,1e6,3
