P,R,PORT,OFFSET,ZNAM,ONAM
BY03,DY001,BY03_DY_1,49,Low,High
BY03,DY002,BY03_DY_1,0,Low,High
BY03,DY003,BY03_DY_1,1,Low,High
BY03,DY004,BY03_DY_1,2,Low,High
BY03,DY005,BY03_DY_1,3,Low,High
BY03,DY006,BY03_DY_1,4,Low,High
BY03,DY007,BY03_DY_1,5,Low,High
BY03,DY008,BY03_DY_1,6,Low,High
BY03,DY009,BY03_DY_1,7,Low,High
BY03,DY010,BY03_DY_1,8,Low,High
BY03,DY011,BY03_DY_1,9,Low,High
BY03,DY012,BY03_DY_1,10,Low,High
BY03,DY013,BY03_DY_1,11,Low,High
BY03,DY014,BY03_DY_1,12,Low,High
BY03,DY015,BY03_DY_1,13,Low,High
BY03,DY016,BY03_DY_1,14,Low,High
BY03,DY017,BY03_DY_1,15,Low,High
BY03,DY018,BY03_DY_1,16,Low,High
BY03,DY019,BY03_DY_1,17,Low,High
BY03,DY020,BY03_DY_1,18,Low,High
BY03,DY021,BY03_DY_1,19,Low,High
BY03,DY022,BY03_DY_1,20,Low,High
BY03,DY023,BY03_DY_1,21,Low,High
BY03,DY024,BY03_DY_1,22,Low,High
BY03,DY025,BY03_DY_1,23,Low,High
BY03,DY026,BY03_DY_1,24,Low,High
BY03,DY027,BY03_DY_1,25,Low,High
BY03,DY028,BY03_DY_1,26,Low,High
BY03,DY029,BY03_DY_1,27,Low,High
BY03,DY030,BY03_DY_1,28,Low,High
BY03,DY031,BY03_DY_1,29,Low,High
BY03,DY032,BY03_DY_1,30,Low,High
BY03,DY033,BY03_DY_1,31,Low,High
